"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 12:52:17 IST 2022","Thu Nov 03 12:52:20 IST 2022","3079","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""lights in a tunnel""",""
"failed","Thu Nov 03 12:42:52 IST 2022","Thu Nov 03 12:43:00 IST 2022","8012","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""tribal""",""
"passed","Thu Nov 03 12:36:52 IST 2022","Thu Nov 03 12:37:12 IST 2022","19583","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""old school""",""
"failed","Thu Nov 03 12:53:52 IST 2022","Thu Nov 03 12:53:55 IST 2022","2761","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""overweight""",""
"failed","Thu Nov 03 12:57:04 IST 2022","Thu Nov 03 12:57:05 IST 2022","836","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""time""",""
"passed","Thu Nov 03 12:47:18 IST 2022","Thu Nov 03 12:47:36 IST 2022","17782","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black background""",""
"passed","Thu Nov 03 12:31:34 IST 2022","Thu Nov 03 12:31:53 IST 2022","19381","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""focus change""",""
"passed","Thu Nov 03 12:43:57 IST 2022","Thu Nov 03 12:44:19 IST 2022","21641","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""wind blowing""",""
"failed","Thu Nov 03 12:49:09 IST 2022","Thu Nov 03 12:49:28 IST 2022","19087","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""drone""",""
"failed","Thu Nov 03 12:47:57 IST 2022","Thu Nov 03 12:47:58 IST 2022","411","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""bussiness""",""
"failed","Thu Nov 03 12:57:47 IST 2022","Thu Nov 03 12:57:48 IST 2022","902","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""working out at home""",""
"failed","Thu Nov 03 12:45:53 IST 2022","Thu Nov 03 12:45:54 IST 2022","878","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""abstract visuals""",""
"failed","Thu Nov 03 12:52:15 IST 2022","Thu Nov 03 12:52:17 IST 2022","2842","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""intro""",""
"passed","Thu Nov 03 12:53:10 IST 2022","Thu Nov 03 12:53:31 IST 2022","21533","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""muscle""",""
"failed","Thu Nov 03 12:43:40 IST 2022","Thu Nov 03 12:43:57 IST 2022","17438","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""war zone""",""
"failed","Thu Nov 03 12:42:19 IST 2022","Thu Nov 03 12:42:25 IST 2022","5611","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""techno""",""
"passed","Thu Nov 03 12:56:24 IST 2022","Thu Nov 03 12:56:34 IST 2022","10312","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""subway""",""
"failed","Thu Nov 03 12:23:25 IST 2022","Thu Nov 03 12:23:40 IST 2022","14987","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""authentic style""",""
"failed","Thu Nov 03 12:44:40 IST 2022","Thu Nov 03 12:45:04 IST 2022","24483","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""woman in a dreamy scene""",""
"passed","Thu Nov 03 12:25:02 IST 2022","Thu Nov 03 12:25:22 IST 2022","19820","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""black & white""",""
"failed","Thu Nov 03 12:28:36 IST 2022","Thu Nov 03 12:28:57 IST 2022","21695","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""domestic violence""",""
